AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
5.2|6.2|5.7|464|III(d) Other gliomas|82749431|0-19|All Races|Male and Female|2007|5.1|6.1|5.6
0.5|0.9|0.7|57|III(e) Other specified intracranial & intraspinal neoplasms|82749431|0-19|All Races|Male and Female|2007|0.5|0.9|0.7
0.3|0.6|0.5|39|III(f) Unspecified intracranial and intraspinal neoplasms|82749431|0-19|All Races|Male and Female|2007|0.3|0.6|0.5
8.4|9.7|9.0|752|IV Neuroblastoma and other peripheral nervous cell tumors|82749431|0-19|All Races|Male and Female|2007|8.4|9.8|9.1
8.2|9.4|8.8|733|IV(a) Neuroblastoma and ganglioneuroblastoma|82749431|0-19|All Races|Male and Female|2007|8.2|9.5|8.9
0.1|0.4|0.2|19|IV(b) Other peripheral nervous cell tumors|82749431|0-19|All Races|Male and Female|2007|0.1|0.4|0.2
11.8|13.3|12.5|1048|IX Soft tissue and other extraosseous sarcomas|82749431|0-19|All Races|Male and Female|2007|11.9|13.5|12.7
4.7|5.7|5.2|428|IX(a) Rhabdomyosarcomas|82749431|0-19|All Races|Male and Female|2007|4.7|5.7|5.2
1.1|1.6|1.4|116|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|82749431|0-19|All Races|Male and Female|2007|1.2|1.7|1.4
~|~|~|~|IX(c) Kaposi sarcoma|82749431|0-19|All Races|Male and Female|2007|~|~|~
4.3|5.2|4.8|402|IX(d) Other specified soft tissue sarcomas|82749431|0-19|All Races|Male and Female|2007|4.4|5.4|4.9
0.9|1.4|1.2|98|IX(e) Unspecified soft tissue sarcomas|82749431|0-19|All Races|Male and Female|2007|1.0|1.4|1.2
0.1|0.3|0.2|18|Not classified by ICCC|82749431|0-19|All Races|Male and Female|2007|0.1|0.3|0.2
2.8|3.6|3.2|266|V Retinoblastoma|82749431|0-19|All Races|Male and Female|2007|2.8|3.6|3.2
6.3|7.5|6.9|568|VI Renal tumors|82749431|0-19|All Races|Male and Female|2007|6.3|7.5|6.9
5.7|6.8|6.2|512|VI(a) Nephroblastoma and other nonepithelial renal tumors|82749431|0-19|All Races|Male and Female|2007|5.7|6.7|6.2
0.5|0.8|0.6|54|VI(b) Renal carcinomas|82749431|0-19|All Races|Male and Female|2007|0.5|0.9|0.7
~|~|~|~|VI(c) Unspecified malignant renal tumors|82749431|0-19|All Races|Male and Female|2007|~|~|~
2.0|2.7|2.3|194|VII Hepatic tumors|82749431|0-19|All Races|Male and Female|2007|2.0|2.7|2.3
1.4|2.0|1.7|142|VII(a) Hepatoblastoma|82749431|0-19|All Races|Male and Female|2007|1.4|2.0|1.7
0.5|0.8|0.6|52|VII(b) Hepatic carcinomas|82749431|0-19|All Races|Male and Female|2007|0.5|0.8|0.6
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|82749431|0-19|All Races|Male and Female|2007|~|~|~
8.1|9.4|8.8|733|VIII Malignant bone tumors|82749431|0-19|All Races|Male and Female|2007|8.2|9.5|8.9
4.2|5.2|4.7|392|VIII(a) Osteosarcomas|82749431|0-19|All Races|Male and Female|2007|4.3|5.2|4.7
0.3|0.5|0.4|32|VIII(b) Chondrosarcomas|82749431|0-19|All Races|Male and Female|2007|0.3|0.5|0.4
2.7|3.5|3.1|257|VIII(c) Ewing tumor and related sarcomas of bone|82749431|0-19|All Races|Male and Female|2007|2.7|3.5|3.1
0.2|0.5|0.4|30|VIII(d) Other specified malignant bone tumors|82749431|0-19|All Races|Male and Female|2007|0.2|0.5|0.4
0.2|0.4|0.3|22|VIII(e) Unspecified malignant bone tumors|82749431|0-19|All Races|Male and Female|2007|0.2|0.4|0.3
10.4|11.8|11.1|951|X Germ cell, trophoblastic tumors & neoplasms of gonads|82749431|0-19|All Races|Male and Female|2007|10.8|12.2|11.5
1.3|1.9|1.6|134|X(a) Intracranial & intraspinal germ cell tumors|82749431|0-19|All Races|Male and Female|2007|1.4|1.9|1.6
1.1|1.7|1.4|118|X(b) Malignant extracranial & extragonadal germ cell tumors|82749431|0-19|All Races|Male and Female|2007|1.2|1.7|1.4
6.9|8.1|7.5|643|X(c) Malignant gonadal germ cell tumors|82749431|0-19|All Races|Male and Female|2007|7.2|8.4|7.8
0.2|0.5|0.4|31|X(d) Gonadal carcinomas|82749431|0-19|All Races|Male and Female|2007|0.3|0.5|0.4
0.2|0.4|0.3|25|X(e) Other and unspecified malignant gonadal tumors|82749431|0-19|All Races|Male and Female|2007|0.2|0.4|0.3
16.7|18.5|17.6|1514|XI Other malignant epithelial neoplasms and malignant melanomas|82749431|0-19|All Races|Male and Female|2007|17.4|19.2|18.3
~|~|~|~|XI(a) Adrenocortical carcinomas|82749431|0-19|All Races|Male and Female|2007|~|~|~
6.7|7.9|7.3|629|XI(b) Thyroid carcinomas|82749431|0-19|All Races|Male and Female|2007|7.0|8.2|7.6
0.5|0.8|0.6|52|XI(c) Nasopharyngeal carcinomas|82749431|0-19|All Races|Male and Female|2007|0.5|0.8|0.6
4.9|5.9|5.4|459|XI(d) Malignant melanomas|82749431|0-19|All Races|Male and Female|2007|5.1|6.1|5.5
~|~|~|~|XI(e) Skin carcinomas|82749431|0-19|All Races|Male and Female|2007|~|~|~
3.7|4.5|4.1|351|XI(f) Other and unspecified carcinomas|82749431|0-19|All Races|Male and Female|2007|3.8|4.7|4.2
0.6|1.0|0.8|68|XII Other and unspecified malignant neoplasms|82749431|0-19|All Races|Male and Female|2007|0.6|1.0|0.8
0.2|0.5|0.3|29|XII(a) Other specified malignant tumors|82749431|0-19|All Races|Male and Female|2007|0.2|0.5|0.4
0.3|0.6|0.5|39|XII(b) Other unspecified malignant tumors|82749431|0-19|All Races|Male and Female|2007|0.3|0.6|0.5
175.1|180.8|178.0|14939|All ICCC Groups Combined|83118264|0-19|All Races|Male and Female|2008|176.9|182.6|179.7
47.1|50.1|48.6|4040|I Leukemias, myeloproliferative & myelodysplastic diseases|83118264|0-19|All Races|Male and Female|2008|47.1|50.1|48.6
33.8|36.3|35.0|2896|I(a) Lymphoid leukemias|83118264|0-19|All Races|Male and Female|2008|33.6|36.1|34.8
7.7|8.9|8.3|696|I(b) Acute myeloid leukemias|83118264|0-19|All Races|Male and Female|2008|7.8|9.0|8.4
2.3|3.0|2.7|225|I(c) Chronic myeloproliferative diseases|83118264|0-19|All Races|Male and Female|2008|2.4|3.1|2.7
1.3|1.9|1.6|131|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|83118264|0-19|All Races|Male and Female|2008|1.3|1.9|1.6
0.9|1.3|1.1|92|I(e) Unspecified and other specified leukemias|83118264|0-19|All Races|Male and Female|2008|0.9|1.4|1.1
24.4|26.5|25.4|2152|II Lymphomas and reticuloendothelial neoplasms|83118264|0-19|All Races|Male and Female|2008|24.8|27.0|25.9
12.1|13.7|12.9|1103|II(a) Hodgkin lymphomas|83118264|0-19|All Races|Male and Female|2008|12.5|14.1|13.3
8.1|9.4|8.8|737|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|83118264|0-19|All Races|Male and Female|2008|8.2|9.5|8.9
2.2|2.9|2.5|209|II(c) Burkitt lymphoma|83118264|0-19|All Races|Male and Female|2008|2.2|2.9|2.5
0.7|1.2|0.9|77|II(d) Miscellaneous lymphoreticular neoplasms|83118264|0-19|All Races|Male and Female|2008|0.7|1.2|0.9
0.2|0.5|0.3|26|II(e) Unspecified lymphomas|83118264|0-19|All Races|Male and Female|2008|0.2|0.5|0.3
30.7|33.2|31.9|2643|III CNS and misc intracranial and intraspinal neoplasms|83118264|0-19|All Races|Male and Female|2008|30.6|33.0|31.8
2.0|2.7|2.4|196|III(a) Ependymomas and choroid plexus tumor|83118264|0-19|All Races|Male and Female|2008|2.0|2.7|2.4
15.2|17.0|16.1|1330|III(b) Astrocytomas|83118264|0-19|All Races|Male and Female|2008|15.2|16.9|16.0
6.1|7.3|6.7|553|III(c) Intracranial and intraspinal embryonal tumors|83118264|0-19|All Races|Male and Female|2008|6.1|7.2|6.7
5.2|6.2|5.7|472|III(d) Other gliomas|83118264|0-19|All Races|Male and Female|2008|5.2|6.2|5.7
0.5|0.9|0.7|59|III(e) Other specified intracranial & intraspinal neoplasms|83118264|0-19|All Races|Male and Female|2008|0.5|0.9|0.7
0.3|0.6|0.4|33|III(f) Unspecified intracranial and intraspinal neoplasms|83118264|0-19|All Races|Male and Female|2008|0.3|0.6|0.4
7.8|9.0|8.4|702|IV Neuroblastoma and other peripheral nervous cell tumors|83118264|0-19|All Races|Male and Female|2008|7.8|9.1|8.4
7.5|8.7|8.1|675|IV(a) Neuroblastoma and ganglioneuroblastoma|83118264|0-19|All Races|Male and Female|2008|7.5|8.8|8.1
0.2|0.5|0.3|27|IV(b) Other peripheral nervous cell tumors|83118264|0-19|All Races|Male and Female|2008|0.2|0.5|0.3
11.5|13.0|12.3|1029|IX Soft tissue and other extraosseous sarcomas|83118264|0-19|All Races|Male and Female|2008|11.6|13.2|12.4
4.6|5.6|5.1|425|IX(a) Rhabdomyosarcomas|83118264|0-19|All Races|Male and Female|2008|4.6|5.6|5.1
0.9|1.3|1.1|91|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|83118264|0-19|All Races|Male and Female|2008|0.9|1.3|1.1
~|~|~|~|IX(c) Kaposi sarcoma|83118264|0-19|All Races|Male and Female|2008|~|~|~
4.1|5.0|4.6|385|IX(d) Other specified soft tissue sarcomas|83118264|0-19|All Races|Male and Female|2008|4.2|5.1|4.6
1.2|1.8|1.5|126|IX(e) Unspecified soft tissue sarcomas|83118264|0-19|All Races|Male and Female|2008|1.3|1.8|1.5
0.2|0.4|0.3|23|Not classified by ICCC|83118264|0-19|All Races|Male and Female|2008|0.2|0.4|0.3
2.7|3.5|3.1|263|V Retinoblastoma|83118264|0-19|All Races|Male and Female|2008|2.8|3.6|3.2
6.7|7.8|7.2|601|VI Renal tumors|83118264|0-19|All Races|Male and Female|2008|6.7|7.8|7.2
5.9|7.0|6.5|535|VI(a) Nephroblastoma and other nonepithelial renal tumors|83118264|0-19|All Races|Male and Female|2008|5.9|7.0|6.4
0.6|0.9|0.7|63|VI(b) Renal carcinomas|83118264|0-19|All Races|Male and Female|2008|0.6|1.0|0.8
~|~|~|~|VI(c) Unspecified malignant renal tumors|83118264|0-19|All Races|Male and Female|2008|~|~|~
1.9|2.6|2.3|190|VII Hepatic tumors|83118264|0-19|All Races|Male and Female|2008|2.0|2.6|2.3
1.4|2.0|1.7|142|VII(a) Hepatoblastoma|83118264|0-19|All Races|Male and Female|2008|1.4|2.0|1.7
0.4|0.7|0.6|47|VII(b) Hepatic carcinomas|83118264|0-19|All Races|Male and Female|2008|0.4|0.8|0.6
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|83118264|0-19|All Races|Male and Female|2008|~|~|~
8.1|9.4|8.7|732|VIII Malignant bone tumors|83118264|0-19|All Races|Male and Female|2008|8.2|9.5|8.8
4.5|5.4|4.9|413|VIII(a) Osteosarcomas|83118264|0-19|All Races|Male and Female|2008|4.5|5.5|5.0
0.3|0.6|0.4|34|VIII(b) Chondrosarcomas|83118264|0-19|All Races|Male and Female|2008|0.3|0.6|0.4
2.4|3.2|2.8|232|VIII(c) Ewing tumor and related sarcomas of bone|83118264|0-19|All Races|Male and Female|2008|2.4|3.2|2.8
0.3|0.5|0.4|32|VIII(d) Other specified malignant bone tumors|83118264|0-19|All Races|Male and Female|2008|0.3|0.5|0.4
0.2|0.4|0.2|21|VIII(e) Unspecified malignant bone tumors|83118264|0-19|All Races|Male and Female|2008|0.2|0.4|0.3
10.2|11.6|10.9|941|X Germ cell, trophoblastic tumors & neoplasms of gonads|83118264|0-19|All Races|Male and Female|2008|10.6|12.1|11.3
1.5|2.0|1.7|145|X(a) Intracranial & intraspinal germ cell tumors|83118264|0-19|All Races|Male and Female|2008|1.5|2.1|1.7
1.2|1.7|1.4|123|X(b) Malignant extracranial & extragonadal germ cell tumors|83118264|0-19|All Races|Male and Female|2008|1.2|1.8|1.5
6.7|7.9|7.3|631|X(c) Malignant gonadal germ cell tumors|83118264|0-19|All Races|Male and Female|2008|7.0|8.2|7.6
0.2|0.5|0.3|29|X(d) Gonadal carcinomas|83118264|0-19|All Races|Male and Female|2008|0.2|0.5|0.3
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|83118264|0-19|All Races|Male and Female|2008|~|~|~
17.2|19.0|18.1|1560|XI Other malignant epithelial neoplasms and malignant melanomas|83118264|0-19|All Races|Male and Female|2008|17.8|19.7|18.8
0.1|0.4|0.2|19|XI(a) Adrenocortical carcinomas|83118264|0-19|All Races|Male and Female|2008|0.1|0.4|0.2
7.4|8.6|8.0|694|XI(b) Thyroid carcinomas|83118264|0-19|All Races|Male and Female|2008|7.7|9.0|8.3
0.4|0.7|0.5|46|XI(c) Nasopharyngeal carcinomas|83118264|0-19|All Races|Male and Female|2008|0.4|0.7|0.6
4.4|5.4|4.9|418|XI(d) Malignant melanomas|83118264|0-19|All Races|Male and Female|2008|4.6|5.5|5.0
~|~|~|~|XI(e) Skin carcinomas|83118264|0-19|All Races|Male and Female|2008|~|~|~
4.0|4.9|4.4|378|XI(f) Other and unspecified carcinomas|83118264|0-19|All Races|Male and Female|2008|4.1|5.0|4.5
0.6|1.0|0.7|63|XII Other and unspecified malignant neoplasms|83118264|0-19|All Races|Male and Female|2008|0.6|1.0|0.8
0.3|0.5|0.4|32|XII(a) Other specified malignant tumors|83118264|0-19|All Races|Male and Female|2008|0.3|0.5|0.4
0.2|0.5|0.4|31|XII(b) Other unspecified malignant tumors|83118264|0-19|All Races|Male and Female|2008|0.3|0.5|0.4
174.1|179.8|177.0|14866|All ICCC Groups Combined|83280391|0-19|All Races|Male and Female|2009|175.6|181.4|178.5
45.6|48.5|47.0|3918|I Leukemias, myeloproliferative & myelodysplastic diseases|83280391|0-19|All Races|Male and Female|2009|45.6|48.5|47.0
33.2|35.8|34.5|2863|I(a) Lymphoid leukemias|83280391|0-19|All Races|Male and Female|2009|33.1|35.7|34.4
7.0|8.2|7.6|639|I(b) Acute myeloid leukemias|83280391|0-19|All Races|Male and Female|2009|7.1|8.3|7.7
2.0|2.6|2.3|194|I(c) Chronic myeloproliferative diseases|83280391|0-19|All Races|Male and Female|2009|2.0|2.7|2.3
1.2|1.8|1.5|125|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|83280391|0-19|All Races|Male and Female|2009|1.2|1.8|1.5
0.9|1.4|1.2|97|I(e) Unspecified and other specified leukemias|83280391|0-19|All Races|Male and Female|2009|0.9|1.4|1.2
24.2|26.3|25.2|2139|II Lymphomas and reticuloendothelial neoplasms|83280391|0-19|All Races|Male and Female|2009|24.6|26.8|25.7
11.8|13.4|12.6|1079|II(a) Hodgkin lymphomas|83280391|0-19|All Races|Male and Female|2009|12.2|13.8|13.0
8.2|9.5|8.8|743|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|83280391|0-19|All Races|Male and Female|2009|8.3|9.6|8.9
1.9|2.6|2.2|184|II(c) Burkitt lymphoma|83280391|0-19|All Races|Male and Female|2009|1.9|2.6|2.2
1.1|1.6|1.3|108|II(d) Miscellaneous lymphoreticular neoplasms|83280391|0-19|All Races|Male and Female|2009|1.1|1.6|1.3
0.2|0.4|0.3|25|II(e) Unspecified lymphomas|83280391|0-19|All Races|Male and Female|2009|0.2|0.4|0.3
30.5|33.0|31.7|2630|III CNS and misc intracranial and intraspinal neoplasms|83280391|0-19|All Races|Male and Female|2009|30.4|32.8|31.6
2.1|2.8|2.4|204|III(a) Ependymomas and choroid plexus tumor|83280391|0-19|All Races|Male and Female|2009|2.1|2.8|2.4
15.1|16.8|15.9|1323|III(b) Astrocytomas|83280391|0-19|All Races|Male and Female|2009|15.0|16.8|15.9
5.8|6.9|6.3|523|III(c) Intracranial and intraspinal embryonal tumors|83280391|0-19|All Races|Male and Female|2009|5.8|6.8|6.3
5.5|6.5|6.0|493|III(d) Other gliomas|83280391|0-19|All Races|Male and Female|2009|5.4|6.5|5.9
0.4|0.8|0.6|48|III(e) Other specified intracranial & intraspinal neoplasms|83280391|0-19|All Races|Male and Female|2009|0.4|0.8|0.6
0.3|0.6|0.5|39|III(f) Unspecified intracranial and intraspinal neoplasms|83280391|0-19|All Races|Male and Female|2009|0.3|0.6|0.5
7.6|8.9|8.2|685|IV Neuroblastoma and other peripheral nervous cell tumors|83280391|0-19|All Races|Male and Female|2009|7.6|8.9|8.2
7.4|8.6|8.0|665|IV(a) Neuroblastoma and ganglioneuroblastoma|83280391|0-19|All Races|Male and Female|2009|7.4|8.6|8.0
0.1|0.4|0.2|20|IV(b) Other peripheral nervous cell tumors|83280391|0-19|All Races|Male and Female|2009|0.1|0.4|0.2
11.4|12.9|12.1|1018|IX Soft tissue and other extraosseous sarcomas|83280391|0-19|All Races|Male and Female|2009|11.5|13.0|12.2
3.8|4.7|4.2|352|IX(a) Rhabdomyosarcomas|83280391|0-19|All Races|Male and Female|2009|3.8|4.7|4.2
1.3|1.8|1.5|130|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|83280391|0-19|All Races|Male and Female|2009|1.3|1.9|1.6
~|~|~|~|IX(c) Kaposi sarcoma|83280391|0-19|All Races|Male and Female|2009|~|~|~
4.5|5.4|4.9|415|IX(d) Other specified soft tissue sarcomas|83280391|0-19|All Races|Male and Female|2009|4.5|5.5|5.0
1.1|1.6|1.4|114|IX(e) Unspecified soft tissue sarcomas|83280391|0-19|All Races|Male and Female|2009|1.1|1.6|1.4
0.3|0.5|0.4|31|Not classified by ICCC|83280391|0-19|All Races|Male and Female|2009|0.3|0.5|0.4
3.0|3.8|3.4|280|V Retinoblastoma|83280391|0-19|All Races|Male and Female|2009|3.0|3.8|3.4
6.8|8.0|7.3|612|VI Renal tumors|83280391|0-19|All Races|Male and Female|2009|6.8|8.0|7.3
6.0|7.1|6.5|543|VI(a) Nephroblastoma and other nonepithelial renal tumors|83280391|0-19|All Races|Male and Female|2009|6.0|7.1|6.5
0.6|1.0|0.8|67|VI(b) Renal carcinomas|83280391|0-19|All Races|Male and Female|2009|0.6|1.0|0.8
~|~|~|~|VI(c) Unspecified malignant renal tumors|83280391|0-19|All Races|Male and Female|2009|~|~|~
1.7|2.3|2.0|168|VII Hepatic tumors|83280391|0-19|All Races|Male and Female|2009|1.7|2.3|2.0
1.2|1.7|1.4|117|VII(a) Hepatoblastoma|83280391|0-19|All Races|Male and Female|2009|1.2|1.7|1.4
0.4|0.8|0.6|49|VII(b) Hepatic carcinomas|83280391|0-19|All Races|Male and Female|2009|0.4|0.8|0.6
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|83280391|0-19|All Races|Male and Female|2009|~|~|~
8.4|9.7|9.0|755|VIII Malignant bone tumors|83280391|0-19|All Races|Male and Female|2009|8.4|9.7|9.1
4.6|5.6|5.1|424|VIII(a) Osteosarcomas|83280391|0-19|All Races|Male and Female|2009|4.6|5.6|5.1
0.2|0.5|0.3|27|VIII(b) Chondrosarcomas|83280391|0-19|All Races|Male and Female|2009|0.2|0.5|0.3
2.6|3.3|2.9|244|VIII(c) Ewing tumor and related sarcomas of bone|83280391|0-19|All Races|Male and Female|2009|2.6|3.3|2.9
0.4|0.7|0.5|42|VIII(d) Other specified malignant bone tumors|83280391|0-19|All Races|Male and Female|2009|0.4|0.7|0.5
0.1|0.3|0.2|18|VIII(e) Unspecified malignant bone tumors|83280391|0-19|All Races|Male and Female|2009|0.1|0.3|0.2
10.8|12.2|11.5|989|X Germ cell, trophoblastic tumors & neoplasms of gonads|83280391|0-19|All Races|Male and Female|2009|11.1|12.6|11.9
1.4|2.0|1.7|140|X(a) Intracranial & intraspinal germ cell tumors|83280391|0-19|All Races|Male and Female|2009|1.4|2.0|1.7
1.1|1.6|1.4|115|X(b) Malignant extracranial & extragonadal germ cell tumors|83280391|0-19|All Races|Male and Female|2009|1.1|1.7|1.4
7.0|8.1|7.5|653|X(c) Malignant gonadal germ cell tumors|83280391|0-19|All Races|Male and Female|2009|7.3|8.5|7.8
0.5|0.8|0.6|53|X(d) Gonadal carcinomas|83280391|0-19|All Races|Male and Female|2009|0.5|0.8|0.6
0.2|0.5|0.3|28|X(e) Other and unspecified malignant gonadal tumors|83280391|0-19|All Races|Male and Female|2009|0.2|0.5|0.3
17.3|19.1|18.2|1564|XI Other malignant epithelial neoplasms and malignant melanomas|83280391|0-19|All Races|Male and Female|2009|17.9|19.7|18.8
0.2|0.4|0.2|21|XI(a) Adrenocortical carcinomas|83280391|0-19|All Races|Male and Female|2009|0.2|0.4|0.3
7.6|8.8|8.2|709|XI(b) Thyroid carcinomas|83280391|0-19|All Races|Male and Female|2009|7.9|9.2|8.5
0.5|0.9|0.7|59|XI(c) Nasopharyngeal carcinomas|83280391|0-19|All Races|Male and Female|2009|0.5|0.9|0.7
4.0|4.9|4.5|385|XI(d) Malignant melanomas|83280391|0-19|All Races|Male and Female|2009|4.2|5.1|4.6
~|~|~|~|XI(e) Skin carcinomas|83280391|0-19|All Races|Male and Female|2009|~|~|~
4.0|4.9|4.4|382|XI(f) Other and unspecified carcinomas|83280391|0-19|All Races|Male and Female|2009|4.1|5.1|4.6
0.7|1.1|0.9|77|XII Other and unspecified malignant neoplasms|83280391|0-19|All Races|Male and Female|2009|0.7|1.2|0.9
0.2|0.5|0.4|30|XII(a) Other specified malignant tumors|83280391|0-19|All Races|Male and Female|2009|0.2|0.5|0.4
0.4|0.7|0.6|47|XII(b) Other unspecified malignant tumors|83280391|0-19|All Races|Male and Female|2009|0.4|0.8|0.6
179.1|181.6|180.3|74444|All ICCC Groups Combined|410461980|0-19|All Races|Male and Female|2009-2013|180.1|182.7|181.4
46.8|48.1|47.4|19485|I Leukemias, myeloproliferative & myelodysplastic diseases|410461980|0-19|All Races|Male and Female|2009-2013|46.8|48.1|47.5
33.4|34.5|34.0|13923|I(a) Lymphoid leukemias|410461980|0-19|All Races|Male and Female|2009-2013|33.4|34.5|33.9
7.8|8.3|8.0|3319|I(b) Acute myeloid leukemias|410461980|0-19|All Races|Male and Female|2009-2013|7.8|8.4|8.1
2.2|2.5|2.3|975|I(c) Chronic myeloproliferative diseases|410461980|0-19|All Races|Male and Female|2009-2013|2.2|2.5|2.4
1.4|1.6|1.5|619|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|410461980|0-19|All Races|Male and Female|2009-2013|1.4|1.6|1.5
1.5|1.7|1.6|649|I(e) Unspecified and other specified leukemias|410461980|0-19|All Races|Male and Female|2009-2013|1.5|1.7|1.6
27.0|28.0|27.5|11404|II Lymphomas and reticuloendothelial neoplasms|410461980|0-19|All Races|Male and Female|2009-2013|27.3|28.3|27.8
11.7|12.4|12.1|5055|II(a) Hodgkin lymphomas|410461980|0-19|All Races|Male and Female|2009-2013|12.0|12.7|12.3
8.6|9.2|8.9|3682|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|410461980|0-19|All Races|Male and Female|2009-2013|8.7|9.3|9.0
2.2|2.5|2.3|961|II(c) Burkitt lymphoma|410461980|0-19|All Races|Male and Female|2009-2013|2.2|2.5|2.3
3.6|4.0|3.8|1560|II(d) Miscellaneous lymphoreticular neoplasms|410461980|0-19|All Races|Male and Female|2009-2013|3.6|4.0|3.8
0.3|0.4|0.4|146|II(e) Unspecified lymphomas|410461980|0-19|All Races|Male and Female|2009-2013|0.3|0.4|0.4
31.2|32.3|31.8|13015|III CNS and misc intracranial and intraspinal neoplasms|410461980|0-19|All Races|Male and Female|2009-2013|31.2|32.3|31.7
2.5|2.8|2.7|1093|III(a) Ependymomas and choroid plexus tumor|410461980|0-19|All Races|Male and Female|2009-2013|2.5|2.8|2.7
16.2|17.0|16.6|6788|III(b) Astrocytomas|410461980|0-19|All Races|Male and Female|2009-2013|16.1|16.9|16.5
5.8|6.2|6.0|2447|III(c) Intracranial and intraspinal embryonal tumors|410461980|0-19|All Races|Male and Female|2009-2013|5.7|6.2|6.0
5.3|5.7|5.5|2256|III(d) Other gliomas|410461980|0-19|All Races|Male and Female|2009-2013|5.3|5.7|5.5
0.5|0.7|0.6|240|III(e) Other specified intracranial & intraspinal neoplasms|410461980|0-19|All Races|Male and Female|2009-2013|0.5|0.7|0.6
0.4|0.5|0.5|191|III(f) Unspecified intracranial and intraspinal neoplasms|410461980|0-19|All Races|Male and Female|2009-2013|0.4|0.5|0.5
8.3|8.9|8.6|3536|IV Neuroblastoma and other peripheral nervous cell tumors|410461980|0-19|All Races|Male and Female|2009-2013|8.3|8.9|8.6
8.1|8.7|8.4|3438|IV(a) Neuroblastoma and ganglioneuroblastoma|410461980|0-19|All Races|Male and Female|2009-2013|8.1|8.7|8.4
0.2|0.3|0.2|98|IV(b) Other peripheral nervous cell tumors|410461980|0-19|All Races|Male and Female|2009-2013|0.2|0.3|0.2
11.7|12.4|12.0|4967|IX Soft tissue and other extraosseous sarcomas|410461980|0-19|All Races|Male and Female|2009-2013|11.8|12.4|12.1
4.5|4.9|4.7|1928|IX(a) Rhabdomyosarcomas|410461980|0-19|All Races|Male and Female|2009-2013|4.5|4.9|4.7
1.2|1.4|1.3|520|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|410461980|0-19|All Races|Male and Female|2009-2013|1.2|1.4|1.3
0.0|0.1|0.1|25|IX(c) Kaposi sarcoma|410461980|0-19|All Races|Male and Female|2009-2013|0.0|0.1|0.1
4.4|4.9|4.6|1920|IX(d) Other specified soft tissue sarcomas|410461980|0-19|All Races|Male and Female|2009-2013|4.5|4.9|4.7
1.3|1.5|1.4|574|IX(e) Unspecified soft tissue sarcomas|410461980|0-19|All Races|Male and Female|2009-2013|1.3|1.5|1.4
0.2|0.4|0.3|123|Not classified by ICCC|410461980|0-19|All Races|Male and Female|2009-2013|0.2|0.4|0.3
3.1|3.4|3.3|1336|V Retinoblastoma|410461980|0-19|All Races|Male and Female|2009-2013|3.1|3.4|3.3
6.8|7.4|7.1|2912|VI Renal tumors|410461980|0-19|All Races|Male and Female|2009-2013|6.8|7.4|7.1
6.1|6.6|6.4|2604|VI(a) Nephroblastoma and other nonepithelial renal tumors|410461980|0-19|All Races|Male and Female|2009-2013|6.1|6.6|6.3
0.6|0.8|0.7|294|VI(b) Renal carcinomas|410461980|0-19|All Races|Male and Female|2009-2013|0.6|0.8|0.7
~|~|~|~|VI(c) Unspecified malignant renal tumors|410461980|0-19|All Races|Male and Female|2009-2013|~|~|~
2.3|2.6|2.5|1017|VII Hepatic tumors|410461980|0-19|All Races|Male and Female|2009-2013|2.3|2.6|2.5
1.7|2.0|1.8|758|VII(a) Hepatoblastoma|410461980|0-19|All Races|Male and Female|2009-2013|1.7|2.0|1.8
0.5|0.7|0.6|249|VII(b) Hepatic carcinomas|410461980|0-19|All Races|Male and Female|2009-2013|0.5|0.7|0.6
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|410461980|0-19|All Races|Male and Female|2009-2013|~|~|~
8.6|9.1|8.8|3644|VIII Malignant bone tumors|410461980|0-19|All Races|Male and Female|2009-2013|8.6|9.2|8.9
4.8|5.2|5.0|2056|VIII(a) Osteosarcomas|410461980|0-19|All Races|Male and Female|2009-2013|4.8|5.2|5.0
0.3|0.4|0.3|131|VIII(b) Chondrosarcomas|410461980|0-19|All Races|Male and Female|2009-2013|0.3|0.4|0.3
2.8|3.1|2.9|1203|VIII(c) Ewing tumor and related sarcomas of bone|410461980|0-19|All Races|Male and Female|2009-2013|2.8|3.1|2.9
