AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
1-4|~|~|~|~|X(d) Gonadal carcinomas|16238222|2010
10-14|~|~|~|~|X(d) Gonadal carcinomas|20681134|2010
15-19|1.1|2.3|1.6|36|X(d) Gonadal carcinomas|21983013|2010
5-9|~|~|~|~|X(d) Gonadal carcinomas|20331732|2010
<1|~|~|~|~|X(d) Gonadal carcinomas|3951330|2010
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|16238222|2010
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20681134|2010
15-19|0.5|1.3|0.8|18|X(e) Other and unspecified malignant gonadal tumors|21983013|2010
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20331732|2010
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3951330|2010
1-4|0.8|1.9|1.2|20|XI Other malignant epithelial neoplasms and malignant melanomas|16238222|2010
10-14|13.3|16.7|14.9|309|XI Other malignant epithelial neoplasms and malignant melanomas|20681134|2010
15-19|47.2|53.1|50.1|1101|XI Other malignant epithelial neoplasms and malignant melanomas|21983013|2010
5-9|2.9|4.6|3.7|75|XI Other malignant epithelial neoplasms and malignant melanomas|20331732|2010
<1|3.9|9.0|6.1|24|XI Other malignant epithelial neoplasms and malignant melanomas|3951330|2010
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|16238222|2010
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|20681134|2010
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|21983013|2010
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|20331732|2010
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3951330|2010
1-4|~|~|~|~|XI(b) Thyroid carcinomas|16238222|2010
10-14|6.0|8.4|7.1|147|XI(b) Thyroid carcinomas|20681134|2010
15-19|23.4|27.7|25.5|560|XI(b) Thyroid carcinomas|21983013|2010
5-9|0.6|1.5|1.0|20|XI(b) Thyroid carcinomas|20331732|2010
<1|~|~|~|~|XI(b) Thyroid carcinomas|3951330|2010
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|16238222|2010
10-14|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20681134|2010
15-19|1.0|2.1|1.5|32|XI(c) Nasopharyngeal carcinomas|21983013|2010
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20331732|2010
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3951330|2010
1-4|~|~|~|~|XI(d) Malignant melanomas|16238222|2010
10-14|2.0|3.4|2.6|54|XI(d) Malignant melanomas|20681134|2010
15-19|9.3|12.1|10.6|233|XI(d) Malignant melanomas|21983013|2010
5-9|1.0|2.2|1.5|31|XI(d) Malignant melanomas|20331732|2010
<1|2.3|6.6|4.0|16|XI(d) Malignant melanomas|3951330|2010
1-4|~|~|~|~|XI(e) Skin carcinomas|16238222|2010
10-14|~|~|~|~|XI(e) Skin carcinomas|20681134|2010
15-19|~|~|~|~|XI(e) Skin carcinomas|21983013|2010
5-9|~|~|~|~|XI(e) Skin carcinomas|20331732|2010
<1|~|~|~|~|XI(e) Skin carcinomas|3951330|2010
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|16238222|2010
10-14|3.2|5.0|4.1|84|XI(f) Other and unspecified carcinomas|20681134|2010
15-19|10.6|13.6|12.1|265|XI(f) Other and unspecified carcinomas|21983013|2010
5-9|0.6|1.5|0.9|19|XI(f) Other and unspecified carcinomas|20331732|2010
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3951330|2010
1-4|0.7|1.8|1.1|18|XII Other and unspecified malignant neoplasms|16238222|2010
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|20681134|2010
15-19|0.5|1.3|0.8|18|XII Other and unspecified malignant neoplasms|21983013|2010
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|20331732|2010
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3951330|2010
1-4|~|~|~|~|XII(a) Other specified malignant tumors|16238222|2010
10-14|~|~|~|~|XII(a) Other specified malignant tumors|20681134|2010
15-19|~|~|~|~|XII(a) Other specified malignant tumors|21983013|2010
5-9|~|~|~|~|XII(a) Other specified malignant tumors|20331732|2010
<1|~|~|~|~|XII(a) Other specified malignant tumors|3951330|2010
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|16238222|2010
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|20681134|2010
15-19|~|~|~|~|XII(b) Other unspecified malignant tumors|21983013|2010
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|20331732|2010
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3951330|2010
1-4|222.8|237.7|230.2|3686|All ICCC Groups Combined|16014788|2011
10-14|134.9|145.2|140.0|2874|All ICCC Groups Combined|20532350|2011
15-19|215.6|228.2|221.8|4767|All ICCC Groups Combined|21488176|2011
5-9|127.3|137.4|132.2|2665|All ICCC Groups Combined|20152486|2011
<1|243.8|275.9|259.4|1019|All ICCC Groups Combined|3927697|2011
1-4|88.1|97.6|92.8|1486|I Leukemias, myeloproliferative & myelodysplastic diseases|16014788|2011
10-14|30.4|35.5|32.9|675|I Leukemias, myeloproliferative & myelodysplastic diseases|20532350|2011
15-19|31.4|36.4|33.8|727|I Leukemias, myeloproliferative & myelodysplastic diseases|21488176|2011
5-9|42.7|48.6|45.6|919|I Leukemias, myeloproliferative & myelodysplastic diseases|20152486|2011
<1|43.6|57.9|50.4|198|I Leukemias, myeloproliferative & myelodysplastic diseases|3927697|2011
1-4|73.7|82.4|78.0|1249|I(a) Lymphoid leukemias|16014788|2011
10-14|19.7|23.7|21.6|444|I(a) Lymphoid leukemias|20532350|2011
15-19|15.9|19.5|17.6|378|I(a) Lymphoid leukemias|21488176|2011
5-9|34.9|40.3|37.6|757|I(a) Lymphoid leukemias|20152486|2011
<1|15.9|25.1|20.1|79|I(a) Lymphoid leukemias|3927697|2011
1-4|9.0|12.2|10.5|168|I(b) Acute myeloid leukemias|16014788|2011
10-14|5.6|7.9|6.7|137|I(b) Acute myeloid leukemias|20532350|2011
15-19|8.8|11.6|10.1|218|I(b) Acute myeloid leukemias|21488176|2011
5-9|3.9|5.9|4.8|97|I(b) Acute myeloid leukemias|20152486|2011
<1|12.5|20.8|16.3|64|I(b) Acute myeloid leukemias|3927697|2011
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|16014788|2011
10-14|2.0|3.4|2.6|54|I(c) Chronic myeloproliferative diseases|20532350|2011
15-19|2.9|4.6|3.7|79|I(c) Chronic myeloproliferative diseases|21488176|2011
5-9|0.6|1.5|1.0|20|I(c) Chronic myeloproliferative diseases|20152486|2011
<1|3.1|7.9|5.1|20|I(c) Chronic myeloproliferative diseases|3927697|2011
1-4|1.2|2.5|1.7|28|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|16014788|2011
10-14|0.5|1.4|0.9|18|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20532350|2011
15-19|0.7|1.6|1.1|23|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|21488176|2011
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20152486|2011
<1|3.7|8.8|5.9|23|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3927697|2011
1-4|1.1|2.5|1.7|27|I(e) Unspecified and other specified leukemias|16014788|2011
10-14|0.7|1.6|1.1|22|I(e) Unspecified and other specified leukemias|20532350|2011
15-19|0.9|1.9|1.3|29|I(e) Unspecified and other specified leukemias|21488176|2011
5-9|1.1|2.3|1.6|33|I(e) Unspecified and other specified leukemias|20152486|2011
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|3927697|2011
1-4|12.9|16.7|14.7|236|II Lymphomas and reticuloendothelial neoplasms|16014788|2011
10-14|23.4|27.8|25.5|524|II Lymphomas and reticuloendothelial neoplasms|20532350|2011
15-19|47.2|53.2|50.1|1077|II Lymphomas and reticuloendothelial neoplasms|21488176|2011
5-9|16.9|20.7|18.7|377|II Lymphomas and reticuloendothelial neoplasms|20152486|2011
<1|14.3|23.1|18.3|72|II Lymphomas and reticuloendothelial neoplasms|3927697|2011
1-4|~|~|~|~|II(a) Hodgkin lymphomas|16014788|2011
10-14|9.6|12.5|11.0|225|II(a) Hodgkin lymphomas|20532350|2011
15-19|29.2|34.0|31.5|677|II(a) Hodgkin lymphomas|21488176|2011
5-9|2.8|4.4|3.5|71|II(a) Hodgkin lymphomas|20152486|2011
<1|~|~|~|~|II(a) Hodgkin lymphomas|3927697|2011
1-4|3.5|5.7|4.5|72|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|16014788|2011
10-14|7.3|9.8|8.5|174|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20532350|2011
15-19|12.6|15.8|14.1|304|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|21488176|2011
5-9|5.5|7.8|6.6|133|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20152486|2011
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3927697|2011
1-4|1.2|2.6|1.8|29|II(c) Burkitt lymphoma|16014788|2011
10-14|2.0|3.5|2.7|55|II(c) Burkitt lymphoma|20532350|2011
15-19|1.6|2.9|2.1|46|II(c) Burkitt lymphoma|21488176|2011
5-9|2.8|4.5|3.6|72|II(c) Burkitt lymphoma|20152486|2011
<1|~|~|~|~|II(c) Burkitt lymphoma|3927697|2011
1-4|6.0|8.8|7.3|117|II(d) Miscellaneous lymphoreticular neoplasms|16014788|2011
10-14|2.4|4.0|3.2|65|II(d) Miscellaneous lymphoreticular neoplasms|20532350|2011
15-19|1.1|2.2|1.6|34|II(d) Miscellaneous lymphoreticular neoplasms|21488176|2011
5-9|3.9|5.9|4.9|98|II(d) Miscellaneous lymphoreticular neoplasms|20152486|2011
<1|11.4|19.4|15.0|59|II(d) Miscellaneous lymphoreticular neoplasms|3927697|2011
1-4|~|~|~|~|II(e) Unspecified lymphomas|16014788|2011
10-14|~|~|~|~|II(e) Unspecified lymphomas|20532350|2011
15-19|0.4|1.2|0.7|16|II(e) Unspecified lymphomas|21488176|2011
5-9|~|~|~|~|II(e) Unspecified lymphomas|20152486|2011
<1|~|~|~|~|II(e) Unspecified lymphomas|3927697|2011
1-4|41.2|47.8|44.4|711|III CNS and misc intracranial and intraspinal neoplasms|16014788|2011
10-14|25.5|30.1|27.7|569|III CNS and misc intracranial and intraspinal neoplasms|20532350|2011
15-19|22.7|27.0|24.8|533|III CNS and misc intracranial and intraspinal neoplasms|21488176|2011
5-9|32.5|37.8|35.1|707|III CNS and misc intracranial and intraspinal neoplasms|20152486|2011
<1|28.8|40.7|34.4|135|III CNS and misc intracranial and intraspinal neoplasms|3927697|2011
1-4|5.0|7.5|6.2|99|III(a) Ependymomas and choroid plexus tumor|16014788|2011
10-14|1.3|2.5|1.8|37|III(a) Ependymomas and choroid plexus tumor|20532350|2011
15-19|0.8|1.8|1.2|26|III(a) Ependymomas and choroid plexus tumor|21488176|2011
5-9|1.5|2.9|2.1|43|III(a) Ependymomas and choroid plexus tumor|20152486|2011
<1|4.7|10.3|7.1|28|III(a) Ependymomas and choroid plexus tumor|3927697|2011
1-4|19.1|23.7|21.3|341|III(b) Astrocytomas|16014788|2011
10-14|14.0|17.4|15.6|321|III(b) Astrocytomas|20532350|2011
15-19|12.9|16.2|14.5|311|III(b) Astrocytomas|21488176|2011
5-9|16.1|19.9|17.9|361|III(b) Astrocytomas|20152486|2011
<1|7.1|13.6|9.9|39|III(b) Astrocytomas|3927697|2011
1-4|9.2|12.5|10.7|172|III(c) Intracranial and intraspinal embryonal tumors|16014788|2011
10-14|2.7|4.4|3.5|72|III(c) Intracranial and intraspinal embryonal tumors|20532350|2011
15-19|2.7|4.3|3.4|74|III(c) Intracranial and intraspinal embryonal tumors|21488176|2011
5-9|5.7|8.0|6.7|136|III(c) Intracranial and intraspinal embryonal tumors|20152486|2011
<1|8.4|15.3|11.5|45|III(c) Intracranial and intraspinal embryonal tumors|3927697|2011
1-4|4.2|6.6|5.3|85|III(d) Other gliomas|16014788|2011
10-14|4.7|6.8|5.6|116|III(d) Other gliomas|20532350|2011
15-19|3.9|5.8|4.7|102|III(d) Other gliomas|21488176|2011
5-9|6.3|8.7|7.4|150|III(d) Other gliomas|20152486|2011
<1|2.5|6.9|4.3|17|III(d) Other gliomas|3927697|2011
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|16014788|2011
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20532350|2011
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|21488176|2011
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20152486|2011
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3927697|2011
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|16014788|2011
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20532350|2011
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|21488176|2011
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20152486|2011
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3927697|2011
1-4|19.4|24.1|21.7|347|IV Neuroblastoma and other peripheral nervous cell tumors|16014788|2011
10-14|0.9|1.9|1.3|27|IV Neuroblastoma and other peripheral nervous cell tumors|20532350|2011
15-19|~|~|~|~|IV Neuroblastoma and other peripheral nervous cell tumors|21488176|2011
5-9|3.6|5.5|4.5|91|IV Neuroblastoma and other peripheral nervous cell tumors|20152486|2011
<1|48.4|63.4|55.5|218|IV Neuroblastoma and other peripheral nervous cell tumors|3927697|2011
1-4|19.3|23.9|21.5|344|IV(a) Neuroblastoma and ganglioneuroblastoma|16014788|2011
10-14|0.6|1.5|1.0|20|IV(a) Neuroblastoma and ganglioneuroblastoma|20532350|2011
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|21488176|2011
5-9|3.5|5.4|4.4|88|IV(a) Neuroblastoma and ganglioneuroblastoma|20152486|2011
<1|48.4|63.4|55.5|218|IV(a) Neuroblastoma and ganglioneuroblastoma|3927697|2011
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|16014788|2011
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20532350|2011
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|21488176|2011
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20152486|2011
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3927697|2011
1-4|9.8|13.2|11.4|183|IX Soft tissue and other extraosseous sarcomas|16014788|2011
10-14|10.4|13.4|11.8|243|IX Soft tissue and other extraosseous sarcomas|20532350|2011
15-19|13.4|16.8|15.0|323|IX Soft tissue and other extraosseous sarcomas|21488176|2011
5-9|6.8|9.4|8.0|162|IX Soft tissue and other extraosseous sarcomas|20152486|2011
<1|16.6|25.9|20.9|82|IX Soft tissue and other extraosseous sarcomas|3927697|2011
1-4|7.0|9.8|8.3|133|IX(a) Rhabdomyosarcomas|16014788|2011
10-14|2.8|4.5|3.6|74|IX(a) Rhabdomyosarcomas|20532350|2011
15-19|2.5|4.0|3.2|68|IX(a) Rhabdomyosarcomas|21488176|2011
5-9|3.2|5.1|4.1|82|IX(a) Rhabdomyosarcomas|20152486|2011
<1|4.5|10.0|6.9|27|IX(a) Rhabdomyosarcomas|3927697|2011
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|16014788|2011
10-14|0.7|1.6|1.1|22|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20532350|2011
15-19|1.4|2.7|2.0|43|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|21488176|2011
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20152486|2011
<1|2.9|7.6|4.8|19|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3927697|2011
1-4|~|~|~|~|IX(c) Kaposi sarcoma|16014788|2011
10-14|~|~|~|~|IX(c) Kaposi sarcoma|20532350|2011
15-19|~|~|~|~|IX(c) Kaposi sarcoma|21488176|2011
5-9|~|~|~|~|IX(c) Kaposi sarcoma|20152486|2011
<1|~|~|~|~|IX(c) Kaposi sarcoma|3927697|2011
1-4|1.3|2.7|1.9|31|IX(d) Other specified soft tissue sarcomas|16014788|2011
10-14|4.6|6.7|5.6|114|IX(d) Other specified soft tissue sarcomas|20532350|2011
15-19|6.7|9.1|7.9|169|IX(d) Other specified soft tissue sarcomas|21488176|2011
5-9|2.1|3.6|2.7|55|IX(d) Other specified soft tissue sarcomas|20152486|2011
<1|3.9|9.1|6.1|24|IX(d) Other specified soft tissue sarcomas|3927697|2011
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|16014788|2011
10-14|1.1|2.3|1.6|33|IX(e) Unspecified soft tissue sarcomas|20532350|2011
15-19|1.3|2.4|1.8|38|IX(e) Unspecified soft tissue sarcomas|21488176|2011
5-9|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|20152486|2011
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3927697|2011
1-4|~|~|~|~|Not classified by ICCC|16014788|2011
10-14|~|~|~|~|Not classified by ICCC|20532350|2011
15-19|~|~|~|~|Not classified by ICCC|21488176|2011
5-9|~|~|~|~|Not classified by ICCC|20152486|2011
<1|~|~|~|~|Not classified by ICCC|3927697|2011
1-4|7.1|10.0|8.5|136|V Retinoblastoma|16014788|2011
10-14|~|~|~|~|V Retinoblastoma|20532350|2011
15-19|~|~|~|~|V Retinoblastoma|21488176|2011
5-9|~|~|~|~|V Retinoblastoma|20152486|2011
<1|23.5|34.3|28.5|112|V Retinoblastoma|3927697|2011
1-4|19.4|24.0|21.6|346|VI Renal tumors|16014788|2011
10-14|1.1|2.2|1.6|32|VI Renal tumors|20532350|2011
15-19|1.3|2.4|1.8|38|VI Renal tumors|21488176|2011
5-9|4.9|7.1|5.9|119|VI Renal tumors|20152486|2011
<1|11.2|19.1|14.8|58|VI Renal tumors|3927697|2011
1-4|19.3|23.9|21.5|344|VI(a) Nephroblastoma and other nonepithelial renal tumors|16014788|2011
10-14|0.6|1.4|0.9|19|VI(a) Nephroblastoma and other nonepithelial renal tumors|20532350|2011
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|21488176|2011
5-9|4.6|6.7|5.6|112|VI(a) Nephroblastoma and other nonepithelial renal tumors|20152486|2011
<1|10.8|18.5|14.3|56|VI(a) Nephroblastoma and other nonepithelial renal tumors|3927697|2011
1-4|~|~|~|~|VI(b) Renal carcinomas|16014788|2011
10-14|~|~|~|~|VI(b) Renal carcinomas|20532350|2011
15-19|1.1|2.2|1.5|33|VI(b) Renal carcinomas|21488176|2011
5-9|~|~|~|~|VI(b) Renal carcinomas|20152486|2011
<1|~|~|~|~|VI(b) Renal carcinomas|3927697|2011
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|16014788|2011
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|20532350|2011
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|21488176|2011
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|20152486|2011
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3927697|2011
1-4|5.4|8.0|6.6|106|VII Hepatic tumors|16014788|2011
10-14|0.8|1.8|1.2|25|VII Hepatic tumors|20532350|2011
15-19|0.5|1.4|0.9|19|VII Hepatic tumors|21488176|2011
5-9|~|~|~|~|VII Hepatic tumors|20152486|2011
<1|9.0|16.2|12.2|48|VII Hepatic tumors|3927697|2011
1-4|5.2|7.8|6.4|103|VII(a) Hepatoblastoma|16014788|2011
10-14|~|~|~|~|VII(a) Hepatoblastoma|20532350|2011
15-19|~|~|~|~|VII(a) Hepatoblastoma|21488176|2011
5-9|~|~|~|~|VII(a) Hepatoblastoma|20152486|2011
<1|8.6|15.6|11.7|46|VII(a) Hepatoblastoma|3927697|2011
1-4|~|~|~|~|VII(b) Hepatic carcinomas|16014788|2011
10-14|0.4|1.3|0.8|16|VII(b) Hepatic carcinomas|20532350|2011
15-19|0.5|1.3|0.8|18|VII(b) Hepatic carcinomas|21488176|2011
5-9|~|~|~|~|VII(b) Hepatic carcinomas|20152486|2011
<1|~|~|~|~|VII(b) Hepatic carcinomas|3927697|2011
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|16014788|2011
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20532350|2011
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|21488176|2011
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20152486|2011
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3927697|2011
1-4|1.6|3.2|2.3|37|VIII Malignant bone tumors|16014788|2011
10-14|12.5|15.8|14.1|289|VIII Malignant bone tumors|20532350|2011
15-19|12.0|15.1|13.5|290|VIII Malignant bone tumors|21488176|2011
5-9|4.8|7.0|5.9|118|VIII Malignant bone tumors|20152486|2011
<1|~|~|~|~|VIII Malignant bone tumors|3927697|2011
1-4|~|~|~|~|VIII(a) Osteosarcomas|16014788|2011
10-14|7.3|9.8|8.5|174|VIII(a) Osteosarcomas|20532350|2011
15-19|6.8|9.2|7.9|170|VIII(a) Osteosarcomas|21488176|2011
5-9|2.4|4.1|3.2|64|VIII(a) Osteosarcomas|20152486|2011
<1|~|~|~|~|VIII(a) Osteosarcomas|3927697|2011
1-4|~|~|~|~|VIII(b) Chondrosarcomas|16014788|2011
10-14|~|~|~|~|VIII(b) Chondrosarcomas|20532350|2011
15-19|~|~|~|~|VIII(b) Chondrosarcomas|21488176|2011
5-9|~|~|~|~|VIII(b) Chondrosarcomas|20152486|2011
<1|~|~|~|~|VIII(b) Chondrosarcomas|3927697|2011
1-4|0.9|2.1|1.4|22|VIII(c) Ewing tumor and related sarcomas of bone|16014788|2011
10-14|3.9|5.8|4.8|98|VIII(c) Ewing tumor and related sarcomas of bone|20532350|2011
15-19|3.4|5.1|4.2|90|VIII(c) Ewing tumor and related sarcomas of bone|21488176|2011
5-9|1.8|3.2|2.4|48|VIII(c) Ewing tumor and related sarcomas of bone|20152486|2011
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3927697|2011
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|16014788|2011
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|20532350|2011
15-19|~|~|~|~|VIII(d) Other specified malignant bone tumors|21488176|2011
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|20152486|2011
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3927697|2011
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|16014788|2011
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20532350|2011
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|21488176|2011
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20152486|2011
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3927697|2011
1-4|2.5|4.3|3.3|53|X Germ cell, trophoblastic tumors & neoplasms of gonads|16014788|2011
10-14|5.7|8.0|6.8|140|X Germ cell, trophoblastic tumors & neoplasms of gonads|20532350|2011
15-19|25.2|29.7|27.4|588|X Germ cell, trophoblastic tumors & neoplasms of gonads|21488176|2011
5-9|2.2|3.7|2.9|58|X Germ cell, trophoblastic tumors & neoplasms of gonads|20152486|2011
<1|11.4|19.4|15.0|59|X Germ cell, trophoblastic tumors & neoplasms of gonads|3927697|2011
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|16014788|2011
10-14|2.1|3.5|2.7|56|X(a) Intracranial & intraspinal germ cell tumors|20532350|2011
15-19|1.5|2.8|2.1|45|X(a) Intracranial & intraspinal germ cell tumors|21488176|2011
5-9|0.7|1.7|1.1|22|X(a) Intracranial & intraspinal germ cell tumors|20152486|2011
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3927697|2011
1-4|1.0|2.3|1.6|25|X(b) Malignant extracranial & extragonadal germ cell tumors|16014788|2011
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20532350|2011
15-19|1.3|2.5|1.9|40|X(b) Malignant extracranial & extragonadal germ cell tumors|21488176|2011
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20152486|2011
<1|7.3|13.9|10.2|40|X(b) Malignant extracranial & extragonadal germ cell tumors|3927697|2011
1-4|0.7|1.9|1.2|19|X(c) Malignant gonadal germ cell tumors|16014788|2011
10-14|2.7|4.4|3.5|72|X(c) Malignant gonadal germ cell tumors|20532350|2011
15-19|19.9|23.9|21.8|469|X(c) Malignant gonadal germ cell tumors|21488176|2011
5-9|0.9|2.0|1.4|28|X(c) Malignant gonadal germ cell tumors|20152486|2011
<1|~|~|~|~|X(c) Malignant gonadal germ cell tumors|3927697|2011
1-4|~|~|~|~|X(d) Gonadal carcinomas|16014788|2011
10-14|~|~|~|~|X(d) Gonadal carcinomas|20532350|2011
15-19|0.5|1.4|0.9|19|X(d) Gonadal carcinomas|21488176|2011
5-9|~|~|~|~|X(d) Gonadal carcinomas|20152486|2011
<1|~|~|~|~|X(d) Gonadal carcinomas|3927697|2011
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|16014788|2011
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20532350|2011
15-19|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|21488176|2011
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20152486|2011
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3927697|2011
1-4|1.1|2.4|1.6|26|XI Other malignant epithelial neoplasms and malignant melanomas|16014788|2011
10-14|14.5|18.1|16.2|333|XI Other malignant epithelial neoplasms and malignant melanomas|20532350|2011
15-19|49.4|55.6|52.4|1127|XI Other malignant epithelial neoplasms and malignant melanomas|21488176|2011
5-9|3.4|5.2|4.2|85|XI Other malignant epithelial neoplasms and malignant melanomas|20152486|2011
<1|4.1|9.4|6.4|25|XI Other malignant epithelial neoplasms and malignant melanomas|3927697|2011
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|16014788|2011
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|20532350|2011
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|21488176|2011
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|20152486|2011
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3927697|2011
1-4|~|~|~|~|XI(b) Thyroid carcinomas|16014788|2011
10-14|6.9|9.4|8.1|166|XI(b) Thyroid carcinomas|20532350|2011
15-19|24.8|29.2|26.9|578|XI(b) Thyroid carcinomas|21488176|2011
5-9|0.9|1.9|1.3|27|XI(b) Thyroid carcinomas|20152486|2011
<1|~|~|~|~|XI(b) Thyroid carcinomas|3927697|2011
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|16014788|2011
10-14|0.5|1.3|0.8|17|XI(c) Nasopharyngeal carcinomas|20532350|2011
15-19|1.1|2.2|1.5|33|XI(c) Nasopharyngeal carcinomas|21488176|2011
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20152486|2011
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3927697|2011
1-4|~|~|~|~|XI(d) Malignant melanomas|16014788|2011
